name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
SCHERIA,LIZARD ISLAND (USA),SMASHING GLORY,Hembra,La Pasion,39,2023,56000,26706.756,0.7123859,0.07348895,0.05235249,2023-04-27,2021-08-29
ROMAN PLEASURE,ROMAN RULER (USA),TIMELESS PLEASURE (USA),Macho,Firmamento,127,2019,1200000,26696.328,0.67580914,0.07852932,0.053070832,2019-06-06,2017-10-02
HIT IT A ROYAL,HIT IT A BOMB (USA),VIN ROYAL,Macho,Firmamento,4,2022,46000,26687.223,0.7583301,0.19187315,0.14550318,2022-05-05,2020-09-07
EL BACCARAT,QUE VIDA BUENA,MI NOBLEZA,Macho,Don Florentino,1,2022,7600000,26666.666,0.5563583,0.024500195,0.013630887,2022-09-25,2020-07-03
LE FESTIVAL,LE BLUES,SPRING FEST,Macho,El Paraiso,41,2022,46000,26651.314,0.7806866,0.082546495,0.06444295,2022-05-01,2020-10-24
LINO EN FLOR,LE BLUES,SARAVECA,Macho,El Paraiso,51,2022,46000,26651.314,0.66288656,0.12039666,0.07980933,2022-05-01,2020-09-14
COOL NIGHT,COSMIC TRIGGER,COORDINATE SPIRIT,Hembra,Abolengo,14,2023,55000,26626.693,0.5789586,0.041995045,0.02431339,2023-05-14,2021-08-06
MASTER JULIUS,MASTERCRAFTSMAN (IRE),LUISINA HALO,Macho,NN Criador,94,2019,27000,26617.254,0.7622894,0.16379361,0.12485813,2019-06-04,2017-09-04
SEÑORA MARIA STAR,STORM EMBRUJADO,RUBIA PRECIOSA,Hembra,Abolengo,6,2021,48000,26587.842,0.5257224,0.025109489,0.01320062,2021-06-27,2019-10-08
MOPTI,ORPEN (USA),MALIBUWED (USA),Macho,Carampangue,3,2022,48000,26568.72,0.5009189,0.02911894,0.014586228,2022-06-26,2020-10-15
GOLDEA,ROMAN RULER (USA),GINGER BEER,Hembra,Vacacion,29,2018,750000,26567.482,0.70772785,0.1454615,0.10294715,2018-07-31,2016-09-18
TRADIZIONALE,HURRICANE CAT (USA),TAQUERA,Macho,Vacacion,21,2018,750000,26567.482,0.67537504,0.08179049,0.055239256,2018-07-31,2016-07-31
